,Applicant ID,Application Date,Age,Cibil Score,Loan Type,Loan Amount,Interest Rate,Date Open,Date Close,EMI Amount,Credit Limit,Current Balance,dpd String,High Credit Amount,Postalcode
12,2580,26-02-2023,50,436,Personal Loan,375761,14.09,08-03-2023,12-06-2024,52944.72,51387,45591,"0,0,120,150,0,0,0,180,60,90,0,0,0,180,30,0,150,0,0,120,0,0,180,0,0,90,0,0,30,0",6583,61254
13,6449,31-05-2023,29,428,Auto Loan,209479,12.18,17-03-2023,26-02-2024,25514.54,38114,26969,"0,0,60,90,0,0,0,0,120,90,180,0,0,180,0,0,90,0,180,0,0,0,0,0,0,0,0,90,180,0",36280,54254
14,6467,08-12-2022,35,797,Auto Loan,597347,12.17,29-06-2022,14-08-2023,72697.13,39267,27994,"0,0,120,0,0,90,180,180,0,0,30,90,0,0,0,0,0,0,0,150,30,0,0,0,150,150,0,30,0,0",21680,22737
15,9810,02-05-2023,51,566,Auto Loan,341129,5.46,26-11-2022,01-09-2023,18625.64,82383,48592,"150,60,0,0,0,120,0,120,0,0,0,0,180,0,0,0,90,0,0,0,0,180,0,0,0,0,30,0,0,0",12046,46412
16,5282,22-08-2022,42,775,Auto Loan,65437,14.78,17-04-2023,31-07-2023,9671.59,1867,1755,"0,30,30,0,0,0,0,60,0,180,30,180,180,120,90,0,30,120,120,0,0,0,0,120,0,0,0,0,150,0",1494,52015
17,4776,05-01-2023,30,839,Auto Loan,439909,8.89,31-10-2022,18-10-2023,39107.91,53914,47349,"120,0,120,0,180,30,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,60,0,0,180,0,0,0,0,0",53869,76305
18,5958,09-12-2022,41,534,Auto Loan,690067,8.24,12-05-2023,02-08-2023,56861.52,25565,9478,"0,0,180,0,0,0,120,30,180,0,60,0,120,150,30,0,0,180,0,0,90,0,0,0,0,120,90,30,150,30",8453,96368
19,6548,19-12-2022,45,732,Auto Loan,828684,6.17,29-07-2022,28-06-2023,51129.8,80666,45696,"120,0,180,30,0,0,180,0,90,0,0,0,90,60,0,150,120,60,0,0,30,90,0,30,0,180,0,0,0,0",29008,33317
20,5681,15-06-2023,43,714,Auto Loan,406837,8.57,23-12-2022,22-11-2023,34865.93,77876,70553,"180,0,150,0,180,180,0,0,150,0,0,30,90,180,120,0,0,90,0,0,0,180,0,0,0,180,0,0,0,0",23552,39076
21,9624,26-03-2023,51,869,Auto Loan,769844,14.21,25-08-2022,22-06-2023,109394.83,76221,16388,"0,0,0,120,0,90,150,0,0,150,0,0,180,0,0,0,0,0,120,90,0,180,0,0,0,0,0,0,60,0",9624,45088
22,1340,18-10-2022,27,492,Personal Loan,709906,12.94,31-07-2022,01-01-2024,91861.84,5981,2371,"0,120,0,0,0,150,60,120,180,0,0,0,0,0,0,30,0,0,60,0,120,180,0,60,180,30,30,0,60,120",1515,55420
23,6495,21-04-2023,39,646,Home Loan,301257,13.01,04-08-2022,08-01-2024,39193.54,16124,3406,"0,0,180,0,180,0,0,0,90,120,0,60,180,0,0,0,30,0,0,0,0,0,120,180,30,180,90,60,120,0",7966,55809
24,1975,28-01-2023,41,699,Home Loan,904350,11.63,14-12-2022,29-06-2023,105175.9,86178,40799,"0,0,0,0,0,30,180,150,0,0,120,0,0,30,0,0,0,0,30,150,0,0,0,0,0,60,180,0,0,0",49863,14941
25,8679,07-06-2023,53,791,Personal Loan,653685,11.26,08-06-2023,23-09-2023,73604.93,56671,53021,"0,0,120,90,0,0,30,90,0,0,60,180,120,0,0,0,0,0,120,0,120,0,0,0,0,0,150,0,0,0",27940,32876
26,7268,12-10-2022,46,810,Personal Loan,188493,7.56,17-10-2022,19-12-2023,14250.07,4919,1533,"0,0,0,0,90,0,0,0,0,0,0,180,0,0,30,0,60,60,120,30,60,0,0,30,0,60,90,0,180,0",3478,31316
27,1209,17-06-2023,59,317,Home Loan,522054,5.89,17-10-2022,08-08-2023,30748.98,93635,43222,"0,0,0,0,0,30,90,0,0,90,0,0,0,0,0,120,0,0,0,0,0,180,180,90,60,0,150,150,0,180",16739,45622
28,1162,24-09-2022,26,743,Auto Loan,472464,8.87,08-01-2023,13-04-2024,41907.56,8829,3599,"0,0,60,60,0,0,120,120,0,0,0,0,0,90,120,0,0,0,90,0,0,60,60,0,0,30,0,180,60,180",7509,21191
29,1615,07-09-2022,49,323,Home Loan,268180,5.3,17-07-2022,05-11-2023,14213.54,50684,9386,"30,0,90,0,0,30,0,0,0,150,0,60,0,0,60,150,0,30,0,0,0,0,0,0,150,30,0,0,0,150",47261,86946
30,8219,02-08-2022,51,333,Home Loan,901030,14.18,17-11-2022,12-02-2024,127766.05,3876,1099,"0,0,0,0,0,0,30,120,0,0,0,60,90,0,0,60,0,90,0,150,30,90,0,30,0,0,0,0,180,0",592,16052
31,3152,12-03-2023,37,746,Personal Loan,544295,9.91,28-06-2022,17-01-2024,53939.63,34005,28317,"150,0,180,150,0,180,0,150,0,90,0,60,30,150,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0",27840,87011
32,9285,25-11-2022,34,755,Personal Loan,166299,14.01,22-06-2022,26-08-2023,23298.49,34035,31949,"0,0,0,0,0,60,150,150,0,0,180,0,0,0,30,60,0,0,60,0,180,0,0,0,0,0,30,150,0,0",22167,42150
33,3139,05-01-2023,34,773,Home Loan,809712,5.81,24-12-2022,22-07-2023,47044.27,30020,15797,"0,0,150,0,0,0,0,0,60,90,30,0,0,90,90,0,120,0,0,120,30,60,180,0,0,30,0,0,0,0",3985,68720
34,5253,15-02-2023,23,873,Auto Loan,279173,13.9,22-03-2023,12-03-2024,38805.05,45444,30784,"0,60,0,0,0,60,0,0,150,0,120,90,0,0,0,30,0,0,0,0,150,0,0,0,0,0,0,0,120,0",4503,73345
35,7779,01-07-2022,48,785,Auto Loan,306394,13.52,01-11-2022,01-11-2023,41424.47,30395,24334,"0,0,0,0,0,120,0,0,150,0,0,0,30,0,0,0,120,150,60,0,90,0,0,0,0,30,0,180,0,0",25798,50179
36,7859,06-09-2022,22,353,Personal Loan,453346,11.84,01-04-2023,19-07-2023,53676.17,78999,69636,"0,180,0,30,60,120,0,0,0,30,90,180,0,30,150,120,60,0,0,0,0,30,0,0,60,0,0,0,150,0",78617,88190
37,8539,18-01-2023,31,478,Home Loan,972497,10.7,19-09-2022,03-02-2024,104057.18,45261,16940,"0,0,0,0,0,0,0,60,0,30,0,0,60,0,0,180,0,60,0,0,120,0,60,150,60,0,0,0,0,0",11679,32969
38,5205,20-09-2022,31,403,Personal Loan,132127,5.66,05-12-2022,17-09-2023,7478.39,16481,7258,"0,180,0,150,0,0,0,120,30,120,0,90,120,30,0,0,0,180,0,150,0,0,0,0,120,0,0,0,0,120",1331,68297
39,6357,27-02-2023,26,875,Personal Loan,931503,13.55,22-08-2022,23-01-2024,126218.66,73236,57017,"60,0,0,0,0,0,0,0,0,150,120,150,120,30,0,0,180,0,60,0,0,0,0,90,0,0,60,0,180,0",64414,12700
40,8640,21-03-2023,22,750,Personal Loan,298298,14.21,16-11-2022,15-09-2023,42388.15,98650,24134,"60,0,120,0,30,120,90,0,0,0,0,0,0,120,0,0,0,60,0,150,180,0,0,30,30,0,120,0,0,120",46658,11783
41,4967,23-09-2022,33,621,Personal Loan,120227,11.97,02-05-2023,13-08-2023,14391.17,58452,30097,"30,0,0,0,180,0,60,0,0,0,150,0,0,0,0,60,0,30,0,0,0,0,90,0,0,0,0,90,0,0",10854,67926
42,5500,27-08-2022,21,883,Home Loan,189351,6.06,17-07-2022,05-07-2023,11474.67,14035,3311,"120,180,0,0,0,0,0,0,180,0,0,180,0,150,0,150,180,150,0,0,60,120,120,0,0,0,90,0,30,0",5097,56771
43,8447,18-12-2022,22,487,Auto Loan,281284,14.53,09-04-2023,07-05-2024,40870.57,13980,1659,"30,90,60,0,180,0,0,30,120,60,0,0,0,30,0,60,0,180,0,0,30,0,0,30,30,0,0,0,0,150",11779,95555
44,2486,10-12-2022,36,425,Auto Loan,704519,10.22,03-01-2023,05-11-2023,72001.84,80673,17347,"0,0,180,90,0,90,120,0,90,60,60,0,0,60,30,0,0,0,0,120,180,60,180,0,0,0,0,0,0,0",69383,84234
45,9186,24-04-2023,57,753,Home Loan,878069,7.89,27-02-2023,11-10-2023,69279.64,99567,65710,"0,0,180,180,30,60,0,0,0,0,0,0,120,180,0,0,60,0,0,0,0,0,180,60,0,0,0,0,0,90",87830,11588
46,3109,09-01-2023,25,791,Auto Loan,636440,8.73,13-01-2023,06-02-2024,55561.21,53604,31925,"150,0,0,0,0,0,0,0,90,0,0,0,0,180,0,120,0,90,150,0,180,0,0,0,120,60,90,0,0,0",47723,91893
47,2262,12-06-2023,47,778,Personal Loan,598127,7.64,17-02-2023,04-04-2024,45696.9,1064,953,"0,60,0,180,0,120,0,0,180,0,0,0,0,0,0,150,90,0,60,0,0,0,0,0,30,0,0,0,120,180",70,84169
48,8223,18-10-2022,25,504,Auto Loan,560562,5.37,13-02-2023,15-09-2023,30102.18,26996,12451,"0,0,150,0,0,0,60,150,0,0,0,120,0,0,150,0,90,0,0,30,0,0,0,60,0,120,0,120,0,0",10219,36094
49,5132,17-07-2022,27,667,Personal Loan,972974,5.11,16-11-2022,04-03-2024,49718.97,19972,428,"30,0,30,0,0,0,0,0,0,0,0,0,120,90,90,0,0,0,0,120,180,120,0,0,150,0,180,0,90,0",2112,62663
50,7687,21-01-2023,57,823,Personal Loan,258119,14.59,19-02-2023,04-10-2023,37659.56,30015,6971,"120,0,0,120,0,0,0,0,0,180,30,30,0,0,0,90,0,0,0,90,0,0,0,180,0,0,0,0,30,90",22051,55757
51,4473,01-10-2022,41,454,Personal Loan,383386,9.93,13-04-2023,06-09-2023,38070.23,92242,54835,"90,120,0,60,30,0,0,0,0,120,0,0,0,0,0,0,30,0,0,180,0,90,0,150,30,0,150,0,150,180",2908,36596
52,5865,19-08-2022,31,531,Auto Loan,578034,12.23,02-11-2022,08-04-2024,70693.56,18164,13122,"0,30,0,30,0,60,0,0,60,0,180,0,0,0,180,0,0,0,180,60,180,30,0,0,0,150,60,0,0,30",11310,75647
53,1005,18-08-2022,20,783,Home Loan,981461,10.51,16-12-2022,11-09-2023,103151.55,31180,10071,"30,180,0,0,0,0,120,0,0,0,0,0,0,0,60,0,0,0,60,0,90,30,60,0,0,120,0,0,0,0",14222,57152
54,1697,06-12-2022,40,557,Personal Loan,935675,6.16,31-07-2022,27-08-2023,57637.58,75984,43711,"180,90,120,0,0,0,30,0,30,30,0,0,0,120,0,0,0,0,150,150,150,0,60,90,180,150,120,0,60,0",69042,11257
55,1813,02-05-2023,23,510,Auto Loan,792582,10.13,08-06-2023,16-07-2023,80288.56,93809,81822,"30,0,0,0,30,90,60,0,0,0,0,0,150,0,30,180,0,60,0,0,0,0,0,0,180,0,0,0,150,0",38924,15701
56,8574,17-09-2022,30,586,Home Loan,674225,7.32,01-02-2023,01-03-2024,49353.27,91487,35879,"0,150,150,0,0,180,0,0,90,0,0,0,0,0,0,0,150,180,0,0,0,150,90,0,0,0,30,0,180,0",73367,12921
57,3258,01-09-2022,58,824,Auto Loan,545872,14.72,27-09-2022,13-05-2024,80352.36,49117,31721,"30,0,120,30,0,0,0,60,180,60,60,30,0,0,0,90,0,0,0,0,60,60,0,0,150,0,0,120,150,60",18350,55461
58,1563,18-07-2022,59,590,Home Loan,676906,10.16,22-01-2023,21-06-2023,68773.65,27959,14827,"0,60,0,0,90,90,0,0,0,0,0,0,180,0,0,0,0,150,30,0,0,30,180,180,0,0,0,0,90,30",10699,25408
59,4168,10-10-2022,52,748,Auto Loan,987522,14.08,07-10-2022,01-04-2024,139043.1,64529,5890,"0,120,30,90,0,0,0,180,0,0,120,0,0,0,120,30,0,0,90,0,0,120,60,150,30,90,150,90,90,150",690,36736
60,8499,13-02-2023,59,484,Home Loan,469719,7.41,27-12-2022,04-12-2023,34806.18,42147,9536,"150,150,0,0,0,0,0,0,0,30,0,0,120,0,0,180,0,0,60,0,150,0,150,0,0,30,0,30,0,30",14023,62196
61,8463,16-02-2023,31,304,Home Loan,146510,6.26,09-08-2022,04-07-2023,9171.53,98044,61501,"180,0,0,150,0,90,60,0,0,0,0,0,150,150,0,0,0,60,0,0,0,180,0,0,0,0,0,0,0,0",81096,47789
62,5998,07-02-2023,24,898,Personal Loan,48644,7.61,09-11-2022,04-06-2024,3701.81,77716,36059,"0,0,0,0,120,120,0,60,0,0,0,180,60,120,0,0,0,0,0,60,0,180,0,0,0,0,120,0,60,60",64523,52422
63,6039,05-11-2022,38,447,Personal Loan,506937,8.84,16-12-2022,01-12-2023,44813.23,78030,53842,"120,0,120,90,120,0,0,60,0,0,180,0,180,30,0,0,0,0,0,0,150,0,0,0,90,60,90,180,0,150",66683,21823
64,3643,11-02-2023,60,851,Personal Loan,288419,7.47,10-10-2022,01-10-2023,21544.9,27617,13615,"0,60,0,180,0,0,60,0,90,0,0,0,0,0,0,180,0,0,0,0,60,0,0,0,30,0,0,180,60,0",5421,18144
65,9179,01-11-2022,60,796,Home Loan,379905,10.28,18-01-2023,29-08-2023,39054.23,38297,153,"0,120,0,0,180,90,0,0,180,0,0,0,0,90,0,0,30,0,120,90,0,120,30,0,90,90,180,30,0,30",30441,62342
66,1758,30-03-2023,28,616,Personal Loan,591288,11.93,16-12-2022,24-04-2024,70540.66,21252,18062,"150,60,0,0,0,180,0,0,0,0,0,180,60,150,0,0,30,120,0,0,0,0,180,0,0,0,0,180,0,0",2950,46985
67,3442,15-04-2023,20,639,Auto Loan,77364,12.96,19-09-2022,25-02-2024,10026.37,46972,26327,"0,0,180,120,0,180,0,0,0,90,0,0,150,180,0,30,0,0,150,0,0,60,180,0,0,0,0,0,0,120",42126,37487
68,7014,22-03-2023,47,767,Auto Loan,767976,5.76,30-06-2022,02-09-2023,44235.42,82212,77937,"0,0,0,150,0,180,0,180,180,120,0,150,0,0,0,150,0,0,0,0,0,90,90,60,150,60,0,60,0,0",15970,29731
69,3371,23-11-2022,54,863,Personal Loan,623010,11.86,01-08-2022,15-09-2023,73888.99,46071,12168,"0,180,0,0,180,0,0,120,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,180,60,180,0",35883,55591
70,6767,11-09-2022,48,616,Auto Loan,805340,6.48,30-04-2023,30-08-2023,52186.03,9318,8745,"0,120,0,180,90,0,90,0,0,0,60,0,0,0,30,0,30,0,0,180,30,30,0,0,0,0,0,0,30,0",4687,82950
71,6389,04-05-2023,42,650,Home Loan,501557,5.91,29-08-2022,23-07-2023,29642.02,71893,3610,"0,0,0,0,0,0,60,0,60,30,0,180,60,180,30,0,150,30,120,0,0,0,0,0,30,0,0,0,0,0",55125,95324
72,2307,18-06-2023,39,351,Home Loan,857293,5.89,07-11-2022,22-12-2023,50494.56,76051,30619,"180,90,120,0,0,0,0,0,90,0,0,180,30,0,0,180,0,0,60,0,180,0,0,0,0,0,150,60,0,0",20113,13859
73,4037,08-10-2022,24,822,Personal Loan,689569,14.28,14-10-2022,17-08-2023,98470.45,62347,7158,"0,120,0,0,0,0,30,180,0,60,0,0,0,60,120,0,0,0,0,90,150,0,150,150,0,60,30,0,0,0",837,99363
74,1892,06-01-2023,21,389,Personal Loan,855673,14.3,21-07-2022,20-07-2023,122361.24,10162,9867,"0,90,0,30,0,60,30,120,0,150,120,0,0,60,0,0,60,150,0,0,0,0,0,0,60,0,90,150,120,0",5272,15654
75,7139,01-02-2023,31,503,Personal Loan,497037,13.39,14-03-2023,24-11-2023,66553.25,32414,22384,"120,0,0,60,60,0,0,120,0,0,0,90,60,0,0,0,0,0,0,0,0,0,60,0,150,120,0,180,60,0",20738,67251
76,9784,10-09-2022,42,778,Home Loan,677127,10.02,07-06-2023,03-04-2024,67848.13,57885,20230,"0,0,0,30,0,0,30,0,60,90,150,180,0,0,0,0,30,0,0,180,120,30,0,30,0,180,150,180,0,0",53999,38480
77,3690,14-09-2022,23,555,Auto Loan,747047,11.66,05-06-2023,26-07-2023,87105.68,35733,19106,"0,0,0,0,60,0,0,90,120,180,0,0,0,0,0,180,0,90,0,180,120,0,0,0,0,120,0,0,180,0",22024,99500
78,4242,18-09-2022,45,501,Personal Loan,449778,13.07,09-01-2023,22-10-2023,58785.98,96981,90357,"0,150,0,30,0,180,0,90,90,0,0,0,30,0,60,0,150,0,90,0,0,90,0,30,0,0,30,0,0,150",96560,53865
79,1863,15-03-2023,26,719,Personal Loan,614153,6.86,19-10-2022,31-07-2023,42130.9,4296,2237,"0,120,0,90,90,0,0,0,0,150,0,60,0,0,0,60,30,180,180,0,0,0,0,60,150,0,0,0,0,0",3785,99262
80,1524,05-02-2023,38,687,Auto Loan,194087,10.74,05-07-2022,25-06-2023,20844.94,10714,4834,"120,0,0,150,0,60,0,0,0,120,0,0,0,0,60,60,0,90,0,0,150,0,0,0,0,0,90,150,0,150",8505,62343
81,8992,01-10-2022,36,627,Home Loan,44799,6.63,22-03-2023,05-08-2023,2970.17,45632,16823,"0,0,180,0,0,0,0,0,90,0,180,0,30,0,0,0,30,0,180,0,180,90,30,60,0,0,0,150,150,0",27372,22227
82,2418,16-08-2022,32,452,Personal Loan,844973,9.01,01-09-2022,07-09-2023,76132.07,43560,32539,"0,0,0,180,0,150,0,150,120,0,120,0,60,180,0,0,90,0,0,30,0,180,60,0,0,90,0,0,0,0",5627,17185
83,6170,30-05-2023,42,345,Home Loan,425520,7.46,03-02-2023,17-12-2023,31743.79,90740,77137,"150,0,0,60,0,180,0,120,60,0,120,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,30",55674,96408
84,4202,20-10-2022,33,501,Auto Loan,958674,14.87,31-01-2023,21-09-2023,142554.82,57736,22881,"0,30,30,0,0,0,150,0,0,30,0,60,0,0,150,0,150,90,0,0,30,0,120,90,30,0,0,0,0,60",56609,41351
85,5882,05-04-2023,35,651,Home Loan,58369,9.38,25-09-2022,03-07-2023,5475.01,19595,35,"0,90,0,0,150,0,0,0,0,0,0,0,0,120,90,60,0,0,0,0,150,0,90,60,90,30,0,180,120,120",6003,68722
86,9652,23-12-2022,20,432,Home Loan,41302,13.58,12-04-2023,05-09-2023,5608.81,1735,1126,"0,0,60,30,0,60,0,0,0,0,0,0,30,0,150,60,0,180,150,90,90,0,60,0,120,0,30,0,120,30",963,64560
87,2131,17-04-2023,40,808,Home Loan,709384,14.54,21-09-2022,05-11-2023,103144.43,82270,34203,"180,0,0,0,0,30,0,120,0,30,30,0,0,0,0,180,60,0,0,30,0,0,0,0,0,0,0,0,90,0",25220,20139
88,1560,18-10-2022,33,489,Personal Loan,406371,13.59,18-04-2023,02-12-2023,55225.82,48768,41422,"30,90,0,90,0,0,180,90,0,0,180,180,0,150,0,0,0,0,0,180,0,150,30,0,0,0,0,0,0,0",42851,85399
89,4330,10-08-2022,47,695,Home Loan,72592,10.78,07-08-2022,04-08-2023,7825.42,64724,40888,"0,0,0,120,0,120,30,0,0,0,0,0,60,30,150,0,0,0,30,0,60,60,120,0,0,0,0,90,90,0",19789,47484
90,7633,23-11-2022,37,566,Auto Loan,91996,12.61,11-11-2022,17-04-2024,11600.7,61616,4666,"180,60,0,0,0,60,0,0,0,180,90,0,60,150,120,0,0,150,60,0,0,0,0,0,0,0,180,0,0,90",54283,24410
91,7418,20-09-2022,30,847,Auto Loan,652152,14.05,07-05-2023,07-01-2024,91627.36,38376,1390,"150,30,30,0,0,0,180,0,180,0,0,0,150,0,120,0,0,0,0,120,0,30,180,0,0,150,120,0,0,0",11692,63060
92,6730,24-07-2022,54,322,Home Loan,448114,14.4,15-09-2022,03-05-2024,64528.42,38176,27391,"0,0,0,120,90,90,30,0,0,120,0,60,60,0,0,180,0,0,120,0,0,0,0,150,0,180,0,0,150,0",3236,62756
93,7655,12-09-2022,36,640,Personal Loan,55990,12.77,03-03-2023,18-11-2023,7149.92,74285,26656,"30,0,0,0,0,90,0,0,90,0,0,0,0,0,0,0,120,150,30,180,180,0,150,60,60,180,0,0,0,0",45761,11106
94,8196,24-04-2023,33,634,Home Loan,357249,7.43,23-07-2022,26-05-2024,26543.6,11406,10450,"150,60,30,150,150,0,30,0,0,0,0,150,0,0,180,150,150,60,0,150,150,0,0,0,120,0,120,0,0,0",4442,72998
95,9963,19-02-2023,29,822,Personal Loan,35786,12.74,20-05-2023,10-04-2024,4559.14,52478,42225,"0,30,0,90,0,180,0,0,180,0,120,120,0,0,0,150,30,0,0,0,0,0,0,120,0,0,120,150,0,90",5081,56719
96,1797,23-01-2023,51,331,Auto Loan,87527,13.08,20-04-2023,28-06-2023,11448.53,44238,19191,"120,0,0,30,0,0,30,90,0,150,0,0,0,0,0,150,0,60,30,90,0,0,0,0,0,0,0,0,120,90",12817,55941
97,6488,11-10-2022,31,495,Auto Loan,686609,12.98,06-06-2023,03-02-2024,89121.85,96724,57951,"150,0,0,60,0,0,30,60,0,0,0,0,60,0,0,0,90,0,180,0,0,0,0,0,120,0,0,0,0,30",92850,64929
98,6152,20-08-2022,47,639,Auto Loan,147046,6.33,10-01-2023,05-06-2024,9308.01,58200,54080,"0,0,0,150,120,0,0,180,0,0,120,0,90,0,0,0,60,120,0,150,0,0,0,0,0,0,0,0,60,0",13156,82796
99,1847,20-10-2022,24,686,Auto Loan,888058,11.11,13-04-2023,11-05-2024,98663.24,77970,38548,"0,0,30,60,0,60,90,90,120,60,0,0,0,0,0,0,0,120,0,0,0,90,0,180,60,150,0,90,0,90",56912,18228
100,6123,23-12-2022,47,865,Personal Loan,509684,13.1,29-11-2022,04-02-2024,66768.6,87688,65808,"0,150,0,0,0,0,0,150,0,0,0,60,120,180,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0",46755,31869
101,5699,29-09-2022,37,566,Auto Loan,899402,8.93,13-06-2023,01-03-2024,80316.6,39563,25004,"0,0,0,0,0,120,0,0,90,0,180,0,90,90,120,0,0,0,0,0,0,0,120,180,0,0,0,150,0,0",28418,89701
102,5252,14-12-2022,31,764,Auto Loan,871760,13.68,21-06-2022,02-01-2024,119256.77,75018,49546,"60,180,0,0,0,0,120,0,0,60,180,120,0,180,0,0,0,0,150,0,0,90,0,150,0,0,120,0,0,0",46640,52511
103,2663,19-11-2022,35,818,Auto Loan,916288,8.19,30-09-2022,27-06-2023,75043.99,24729,3861,"0,0,0,150,0,150,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0",931,23396
104,4242,02-08-2022,38,691,Auto Loan,545188,13.96,13-09-2022,27-11-2023,76108.24,15006,9704,"30,0,0,180,120,180,0,0,0,0,0,30,180,150,0,0,180,0,180,0,0,0,30,180,0,90,60,90,180,150",7719,58494
105,9271,23-10-2022,21,650,Home Loan,32599,8.79,28-07-2022,29-02-2024,2865.45,6249,4682,"0,0,30,0,0,30,60,0,0,0,0,0,0,0,30,0,60,0,0,0,0,0,90,150,0,0,90,120,90,120",4657,31869
106,5933,11-05-2023,56,356,Auto Loan,833556,5.62,14-07-2022,12-03-2024,46845.85,73501,19991,"0,120,0,120,60,0,0,180,150,0,150,0,180,0,0,180,60,0,180,0,120,180,0,0,0,0,60,0,0,180",23609,81430
107,1900,26-10-2022,37,824,Home Loan,461775,6.73,06-04-2023,14-11-2023,31077.46,8921,3318,"0,0,90,0,90,0,0,0,120,30,0,0,0,0,0,0,0,0,90,0,0,30,180,90,0,0,150,60,30,0",2769,97673
108,1016,24-12-2022,25,704,Auto Loan,174172,9.24,02-02-2023,18-06-2024,16093.49,62881,57099,"0,30,0,0,0,0,180,60,0,0,0,150,0,60,30,0,0,90,0,60,0,30,0,0,0,0,0,0,90,150",33883,54098
109,2687,12-05-2023,56,394,Home Loan,792079,6.03,02-01-2023,29-03-2024,47762.36,28825,23596,"150,120,0,0,0,180,0,0,0,90,60,0,0,120,60,0,0,30,120,0,0,0,0,0,0,0,0,90,0,0",8044,67413
110,2940,12-12-2022,43,744,Auto Loan,642424,11.58,04-09-2022,02-10-2023,74392.7,22681,7595,"150,90,0,0,0,0,60,150,0,0,90,0,0,0,0,0,150,0,0,0,0,0,0,60,60,120,90,0,180,180",5756,29014
111,3893,23-03-2023,39,667,Home Loan,168442,10.62,26-11-2022,09-05-2024,17888.54,78495,66277,"0,0,0,120,0,150,30,120,0,90,0,0,0,0,60,120,180,0,0,0,150,150,0,60,120,0,0,30,0,180",76397,88346
112,4358,12-11-2022,35,715,Personal Loan,644295,13.72,11-10-2022,25-08-2023,88397.27,42731,28773,"180,120,0,0,0,0,0,0,0,0,60,0,0,0,90,0,0,0,0,0,0,0,0,0,60,180,90,120,0,120",10747,42918
